multi(Pmax=? [ F pc=-1 ], Pmax=? [ F pc=-2 ]):
Pmax=? [ (F pc=-1)&(G pc!=-2) ]/Pmax=? [ (G pc!=-2) ]:
N	Result
1	0.0
2	0.05565458271903467
3	0.1435309436651653
4	0.197409661370816
5	0.25167810010871194
6	0.30630557079537885
7	0.3556041088646113
8	0.4011625231892317
9	0.4435059021435652
10	0.48384539046500424
11	0.522565150109476
12	0.5597673408453501
13	0.5929834906803058
14	0.6231670307222522
15	0.6511999152945316
16	0.6773832247891975
17	0.7018228527146567
18	0.7246073193922336
19	0.7458185602579742
20	0.7655389563392216
21	0.7838501179436929
22	0.8008329073009207
23	0.8165671627883639
24	0.8311310028589634
25	0.8446000594514288
26	0.8570469806731996
27	0.8685411490519873
28	0.8791485387015445
29	0.8889316565365719
30	0.8979495396331133

Pmax=? [ (F pc=-1) ]:
N	Result
1	0.0
2	0.29017169312085744
3	0.6103636220435266
4	0.7404904989787133
5	0.8017673594066355
6	0.8423890241999327
7	0.8810297277020003
8	0.9118276988143601
9	0.9343908761821442
10	0.9504910865837839
11	0.9626422382939492
12	0.971936774685441
13	0.9789755889860413
14	0.9842273014583752
15	0.988151093349349
16	0.9910978938645281
17	0.9933160384268419
18	0.994982636664498
19	0.9962331297473562
20	0.9971714907168281
21	0.997876116766899
22	0.9984053165837067
23	0.998802684756346
24	0.9991010140948381
25	0.9993249961359041
26	0.9994931720243498
27	0.9996194485579255
28	0.9997142622636687
29	0.999785451432611
30	0.9998389030082084

Pmax=? [ F pc=-2 ]:
N	Result
1	0.001553661062863517
2	0.2638360273566868
3	0.5321078341851581
4	0.6331521623143006
5	0.6838846802927092
6	0.7145326796970562
7	0.7485975668240907
8	0.7769662522677973
9	0.798079735099121
10	0.8130417989800642
11	0.8248825597353507
12	0.8341033373804329
13	0.8413231334086078
14	0.8468700424045486
15	0.8511572960983396
16	0.8544783434223686
17	0.8570600195572453
18	0.8590619034040192
19	0.8606129718744229
20	0.861814637512109
21	0.8627464597954222
22	0.8634691096573759
23	0.8640294484492627
24	0.8644638470770174
25	0.8648006355105189
26	0.8650617704651904
27	0.8652642518447176
28	0.8654212482145567
29	0.8655429752412314
30	0.86563735703651

Pmax=? [ F pc=-2 ]/Pmax=? [ G pc!=-1 ]:
N	Result
1	0.001553661062863517
2	0.2699416532427609
3	0.5632708534635047
4	0.6932558177357616
5	0.7744098268891225
6	0.8370647603371357
7	0.9075379030414525
8	0.9750678881213823
9	1.037133997163852
10	1.0944525829164224
11	1.1505612209944214
12	1.2058889659965313
13	1.2611126905798091
14	1.316563077100026
15	1.3727600668128286
16	1.430102763529236
17	1.48893364548195
18	1.5495226283113517
19	1.6121183601401303
20	1.676947424658631
21	1.7442192024802983
22	1.8141010383051506
23	1.8867504474547887
24	1.96231670516881
25	2.040940199062227
26	2.122764845550885
27	2.207935077443665
28	2.296596285105002
29	2.3888958933471085
30	2.484984184695128

Pmax=? [ (F pc=-2)&(G pc!=-1) ]/Pmax=? [ G pc!=-1 ]:
N	Result
1	0.001553661062863517
2	0.028664368736322388
3	0.03865976557572251
4	0.04323966330402644
5	0.13667952255750304
6	0.16028290736552941
7	0.17214945766919135
8	0.17748504477245003
9	0.18099796258595002
10	0.18416179420101042
11	0.1876666865143763
12	0.19136047748302926
13	0.19517335972676392
14	0.19907811278462118
15	0.20309344296829168
16	0.20734200261482577
17	0.2116131966473876
18	0.21583078026823949
19	0.22005889288000913
20	0.22433624333953395
21	0.22865567042678922
22	0.2330074716582689
23	0.23738391778018822
24	0.24177790593762635
25	0.24618361220912247
26	0.2505961148200724
27	0.2550111241337024
28	0.25942482194606786
29	0.2638337460941224
30	0.2682348297711411

Pmin=? [ F k=N ]:
N	Result
1	1.0
2	1.0
3	0.7098283068791427
4	0.3896363779564735
5	0.25950950102128684
6	0.19823264058732237
7	0.15761097536434804
8	0.1189702722914818
9	0.08817230085067357
10	0.06560912334303075
11	0.04950891252264447
12	0.03735775408556172
13	0.028063215011149396
14	0.02102438598554221
15	0.0157726642307073
16	0.01184886522078652
17	0.008902058598217945
18	0.0066839067804939905
19	0.005017302287696488
20	0.00376680397778249
21	0.0028284396497080234
22	0.0021238117159089387
23	0.0015946113317107167
24	0.001197243737560063
25	8.989160162478716E-4
26	6.749365869739153E-4
27	5.067641162667175E-4
28	3.804915563171359E-4
29	2.856821825890165E-4
30	2.1449754860716007E-4

Pmin=? [ (F k=N)&(G pc>0) ]:
N	Result
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0

Pmin=? [ (F k=N)&(G pc!=-2) ]/Pmin=? [ (F k=N) ]:
N	Result
1	0.9984463389371365
2	0.7361639726433131
3	0.6102658805858518
4	0.6759763991714884
5	0.7076316709160918
6	0.6994804524204774
7	0.6549425188984608
8	0.625739742234126
9	0.6051265337052335
10	0.5892715584469694
11	0.5696683394870092
12	0.5497375889539327
13	0.5310524425480011
14	0.514111377892791
15	0.49765990825632866
16	0.4814734305460959
17	0.46571100702396034
18	0.4506005565790271
19	0.43606079207041454
20	0.4219892499075855
21	0.4083445307871441
22	0.39514463198763894
23	0.3823877379928192
24	0.37005216203250946
25	0.35811396245941474
26	0.3465597734949776
27	0.33537998317180934
28	0.32456336390470986
29	0.31409681036725906
30	0.30396799382400014

Pmax=? [ pc!=-2 U<=N false ]:
N	Result
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0

Pmin=? [ pc>0 U k=N ]:
N	Result
1	1.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0
